ID,orgao
101309,T1
101310,T1
101292,T1
101293,T1
101312,T1
101313,T1
101319,T1
101299,T1
101304,T1
101324,T1
101305,T1
101317,T1
101320,T1
101322,T1
101300,T1
101323,T1
101301,T1
101302,T1
101303,T1
101325,T1
101306,T1
101169,T1
101170,T1
101189,T1
101190,T1
101171,T1
101172,T1
101173,T1
101183,T1
101184,T1
101185,T1
101186,T1
101187,T1
101188,T1
101209,T1
101229,T1
101261,T1
101281,T1
101262,T1
101263,T1
101264,T1
101265,T1
101266,T1
101267,T1
101149,T1
101124,T1
101249,T1
101269,T1
101250,T1
101251,T1
101284,T1
101285,T1
101296,T1
101318,T1
101192,T2
101176,T2
101193,T2
101177,T2
101178,T2
101194,T2
101195,T2
101180,T2
101252,T2
101253,T2
101254,T2
101270,T2
101280,T2
101316,T2
101298,T2
101351,T2
101337,T2
101338,T2
101286,T2
101287,T2
101288,T2
101290,T2
101256,T2
101257,T2
101258,T2
101259,T2
101260,T2
101294,T2
101353,T2
101339,T2
101354,T2
101355,T2
101340,T2
101329,TP
101328,TP
101282,TP
101352,TP
101271,TP
101272,TP
101273,TP
101274,TP
101275,TP
101276,TP
101255,TP
101277,TP
101279,TP
101326,TP
101307,TP
101330,TP
101327,TP
101331,TP
101332,TP
101333,TP
101350,TP
101334,TP
101179,TP
101314,TP
101321,TP
101349,TP
101181,TP
101283,TP
101268,TP
101308,TP
101335,TP
101336,TP
101291,TP
101297,TP
101289,TP
101231,TP
101278,TP
